title,company,location,summary,salary
Senior Data Scientist - Belong,Telstra,melbourne,"Ability to coach and mentor other data scientists. As our Senior Data Scientist, you will be part of our centralised Data n Analytics (DnA) team, embedded deep...",
Data Scientist,Cover Genius,melbourne,We’re seeking a senior data scientist to support the product and marketing with insights gained from analysing company data....,
Data Scientist,Teradata,melbourne,Data ScientistThe Data Scientist gathers intelligence from the massive streams of data that clients gather each day. Data can originate anywhere;...,
Data Scientist,Culture Amp,melbourne,"Your primary role will be to gather, analyse and visualise our benchmark data to transform data into insights for our customers....",
Data Scientist,Omnicom Media Group,melbourne,"As the Data Scientist, you'll play a critical role in helping clients across multiple industries make data driven marketing decisions....",
Data Scientist - Sydney,Australian Red Cross,melbourne,Strong business data acumen with the ability to quickly analyse business/technical requirements to develop a data strategy and initiate appropriate actions....,
Data Scientist,THE ICONIC,melbourne,"We are looking for an experienced Data Scientist to work across several business areas including Recommendations, Customer Profiling, Forecasting and...",
Data Scientist,Tigerspike,melbourne,The successful candidate will be a Data Scientist who’s excited about the potential to build out the whole of Tigerspike's Data Science practice....,
Data Scientist,Hyper Anna,melbourne,This is a client-facing role and you'll be the go-to Data Scientist responsible for solving our clients data analytics’ problems....,
Senior Data Scientist,Algorithmic Trading Strategies Pty Ltd,melbourne,We are looking for an experienced Data Scientist with solid experience (at least 4 years) working as a Data Scientist and with exposure to a broad set of...,"$180,000 - $200,000 a year"
Data Scientist,Freelancer.com,melbourne,"Proven experience as a data scientist or analyst. Experience in data mining. If this sounds like you, you will love life as a data scientist at Freelancer....","$65,000 - $110,000 a year"
Business Intelligence Analyst/Data Scientist Graduate (Full...,Cisco Careers,melbourne,Graduate Business Intelligence Analyst / Data Scientist. Contribute to key business decisions by providing data-driven insights derived from complex data...,
Freelance Data Scientist,mOOvement,melbourne,"Empowering cattle producers with real-time data on their livestock, providing more valuable insights by integrating partner data, and becoming the essential...","$90,000 - $110,000 a year"
Financial Crime Data Scientist,ANZ Banking Group,melbourne,Data test automation capabilities. The Financial Crime Data Scientist will be part of the squad delivering the Financial Crime Data Hub (FCDH) capabilities with...,
Data Engineer,Deakin University,melbourne,"Your responsibilities include developing, implementing and supporting real-time data analytic capabilities, through sourcing new data onto the platform,...",
Data Specialist and Scientist,Deakin University,melbourne,This role requires an experienced Data Specialist with sound knowledge working on the statistical data and involve in maintaining high standard of data record...,
Data Scientist - Solution 49x,KPMG,melbourne,"As a Data Scientist in our team, you will:. As a Data Scientist, you will work with a group of professionals in the form of strategists, statisticians,...",
Data Scientist/ Engineer,Quantexa,melbourne,"Work very closely with data scientists to ensure efficient and effective delivery of solutions; Proven big data experience, either from an implementation or a...","$71,000 - $94,000 a year"
Senior Data Scientist,AWS Australia Pty Ltd,melbourne,Our Data Scientists can live in any location where we have a Professional Service office. Experience giving data presentations....,
Data Scientist,Australian Securities Exchange (ASX),melbourne," Gained a good level of knowledge and experience in data structures, data mining, data transformation and. Theoretical Data Science (e.g....",
Data Analyst Graduate,Reece Group,melbourne,Data Analyst Graduate. The Graduate Data Analyst will assist in:. The Graduate Data Analyst forms part of our Pricing Team ....,
Data Science Opportunities,KPMG,melbourne,Our team is seeking data scientists to support our ambitious growth strategy. You will describe yourself as an individual who uses Data Science techniques and...,
"Consultant, Data Scientist",NAB - National Australia Bank,melbourne,"Reporting to the Manager, Delivery Analytics Experiments, the Data Scientist will collaborate with line of business stakeholders, leveraging NAB’s technology...",
Data Scientist,Munich Re,melbourne,"Data Analytics and Modelling. Identifies what data, both internally and externally, are available and relevant, as well as leveraging new data collection...",
Data Scientist (Maintenance Support),UGL Limited,melbourne,Data Scientist (Maintenance Support)-235255. Analyse data environment and develop a three-year data growth plan....,
Data Scientist - Australian Market Leader,Datasii,melbourne,"Due to continued growth in the Data Science team, an opportunity has arisen for an experienced Data Scientist to join this data science centre of excellence....","$120,000 - $135,000 a year"
Data Scientist,Freshwater Group,melbourne,The Data Scientist will:. Manage data sets. A Data Scientist is required for a wholesale electricity retailer that connects its customers to the wholesale...,
Data Scientist,Macquarie Group Limited,melbourne,5 + years' experience of building models and deriving insights in a position as an Analyst or a Data Scientist....,
Data Scientist - Leading Health/MedTech,Datasii,melbourne,Extensive experience as a Data Scientist or Data Analyst in a commercial analytics environment. Commercial Data Science:....,"$120,000 - $140,000 a year"
Senior Data Scientist,Shelde,melbourne,"As a Data Scientist at Shelde, you will form an integral part of our Data Analytics practice. You will have proven Data Science work experience, with a...",
Customer Facing Data Scientist,DataRobot,melbourne,Customer Facing Data Scientists (CFDSs) are critical to making our customers successful. Enabling customers to solve complex data science problems using...,
Data Scientist,C3,melbourne,"Collaborating with data and subject matter experts from C3 and its customer teams to seek, understand, validate, interpret, and correctly use new data elements....",
Junior Data Scientist,Xpand Group,melbourne,"Working directly with technology, data engineers, data scientists, key business stakeholders and the broader analytics community you will support, and guide...","$90,000 a year"
Senior Data Scientist,Envato,melbourne,"As a Senior Data Scientist at Envato, you will work closely with senior stakeholders, the Analytics Director, Product Managers, Data Scientists, Engineers and...","$110,000 - $150,000 a year"
Customer Care Operator - Call Centre & Data Entry,Murdoch Childrens Research Institute,melbourne,"Customer Care Operator (Call Centre & Data Entry). Word processing and data input – knowledge of Labware LIMS, Word, Excel and Outlook....","$57,010 - $59,632 a year"
Data Scientist,Capgemini Australia,melbourne,Proven experience as a Data Scientist. We are looking for a Data Scientist to analyse large amounts of raw information to find patterns and build data products...,
Digital Data Scientist,The Cancer Council New South Wales,melbourne,"Advise and mentor internal customers on the subjects of digital data management, database structure and coding, historical use of data, test design and response...",
Data Analyst - Sydney,Australian Red Cross,melbourne,"Reporting to the Data Scientist, you will provide reporting, data and analysis support to the Engagement and Support Department, especially supporting the...",
Data Scientist,PBI Search,melbourne,"The successful Data Scientist will have a strong mathematical and/or physics background, able to build complex, non-linear models fitted to diverse and dirty...","$110,000 a year"
Data Scientist (Computer Vision & Deep Learning Specialist),Nearmap,melbourne,"You will work within a team of data scientists, statisticians and engineers. Experience with Keras, Tensorflow, 2D, multi-view and 3D data are highly valued....",
Data Scientist,FourQuarters,melbourne,Data Scientist required to provide insightful predictive modelling solutions for a leading fintech. Building complex mathematical models using unstructured and...,"$125,000 a year"
Data Scientist,New Start,melbourne,"The Data Scientist is required to contribute to a successful business intelligence strategy. The primary focus will be in applying data mining techniques, doing...",
Data Scientist,Talent International,melbourne,"Clean, analyze, and prepare data ensuring data quality throughout the processes. Newly created role for a Data Scientist who thrives on problem solving to join...",$800 - $900 a day
Data Engineer - Machine Learning,CSIRO,melbourne,Creating distributed systems for data science at scale. Ability to build solutions to data engineering problems....,"$111,663 - $130,848 a year"
Quantitative Data Analyst,Lendi,melbourne,Using a commercial focus to turn data trends into actionable insights. Please accompany your application with a personalized cover letter addressed to the Head...,
Data Scientist Chapter Lead,ANZ Banking Group,melbourne,"Data Scientist, Chapter Lead - Data Ecosystem and Advanced Analytics – Data Services. ANZ is seeking an experienced Data Scientist to discover the information...",
Senior Data Scientist / Machine Learning Engineer,Intellify,melbourne,Being a senior data scientist at Intellify you are charged with both being a mentor and learning from fellow specialist data scientists in an ever evolving and...,"$120,000 - $160,000 a year"
Data Scientist,Hydrogen Group,melbourne,"Proven experience as a hands-on data scientist, formulating and delivering strategy and data solutions; A Data Scientist with strong development capability is...","$110,000 a year"
Data Scientist,Xpand Group,melbourne,"The Data Scientist will collaborate with business stakeholders on discovery activities, and deliver advanced analytic insights to improve customer experience...","$100,000 - $145,000 a year"
Lead Data Scientist - IT Neuroverse,Downer Group,melbourne,"Azure Data Factory, SSIS, Data Stage, BODS) and techniques. 10+ years of experience in a Data Science or Data focused role....",
Data Scientist,Michael Page,melbourne,The Data Scientist Role is a multifaceted one and supports a number of internal and external stakeholders....,"$100,000 - $120,000 a year"
Junior Data Scientist,MCS Consulting,melbourne,"Data Streaming, Big Data, Cyber Security Technologies. Looking to create innovative and high quality software to analyse data from a variety of Big Data sources...",
Geoscience Data Officer,CSIRO,melbourne,"This role (through close collaboration with project leaders, managers and scientists across the Program) identifies data management needs, determines the form...","$82,000 - $93,000 a year"
Senior Data Scientist,NRMA Motoring & Services,melbourne,"Develop and strengthen a team of data science professionals covering a range of disciplines including machine learning, data engineering, data modelling,...",
Lead Data Scientist,BCG Digital Ventures,melbourne,"As a Lead Data Scientist, you will:. As a Lead Data Scientist, you will need:. Work closely with cross-functional teams of data scientists, product managers,...",
Data Analyst,ANZ Banking Group,melbourne,"The role will be based within one of the EDB squads, made up of a mix of Journey Experts, Data Scientists and Data Analysts....",
Data Scientist / Machine Learning (blockchain),Crypto Recruit,melbourne,Work with other Data Experts and Engineers to develop our in-house data science library and pipeline. Data mining and modelling experience using mainstream...,"$100,000 - $150,000 a year"
Data Scientist,Charterhouse,melbourne,The above data skills experience in either a Data Scientist or Quantitative Analyst role. The Data Scientist will be responsible for sophisticated analyses and...,
Lead Data Scientist,KPMG,melbourne,"As a Data Scientist in our team, you will:. As a Data Scientist, you will work with a group of professionals in the form of strategists, statisticians,...",
Data Scientist,Clicks IT Recruitment,melbourne,"Our transport government client is seeking a Data Scientist to work across multiple projects. Extract and transform data for use in data analysis, visualisation...",
Senior Data Scientist,Talent International,melbourne,The Data Scientist will posses the following experience:. Strong data management. This is an exciting opportunity to join a leading organisation on a 6 month...,$900 - $960 a day
Data Scientist,HAYS,melbourne,Experienced Data Scientist required for an initial contract til end June 2019 (extension thereafter). This critical government department is seeking an...,
Data Scientist,Dixon Appointments,melbourne,"To manipulate data and draw insights from large data sets. This position requires a marketing, data, statistical, analytical and programming expertise ensuring...",
Data Scientist,Exclaim IT Pty Ltd,melbourne,"They are currently investing in expanding their existing data analytics capability across the organisation. Tertiary qualifications in a relevant discipline,...",
Lead Data Scientist in Sydney,Metigy,melbourne,"What Data Scientist are you? Data Science in Sydney, Australia. Experience working with and creating data architectures....",
Data Scientist,Paxus,melbourne,"Lead the back-end integration of data and systems, and contribute to the design, development and implementation of data models....",
