title,company,location,summary,salary
Data Analyst,ANZ Banking Group,Melbourne VIC,"Data Analyst - Campaign Developer. The role will be based within one of the EDB squads, made up of a mix of Journey Experts, Data Scientists and Data Analysts....",
Data Specialist and Scientist,Deakin University,Melbourne VIC,This role requires an experienced Data Specialist with sound knowledge working on the statistical data and involve in maintaining high standard of data record...,
Analyst - Enterprise Risk Tech Area - x2 Opportunities,ANZ Banking Group,Melbourne VIC,Experience in data models and reporting packages like IBM Cognos. Analyst – Enterprise Risk Tech Area – x2 Opportunities....,
Data Analyst,Metricon,,Solid experience within a data/business analyst role; Advance Excel and VBA skills with proven experience in creating reports and data manipulation;...,
Data Analyst,Hendry Group Pty Ltd,,Have experience in building scalable data model and schema design (both relational and non-relational data). Have experience working with different formats of...,
OR&C Data Analyst,ANZ Banking Group,,The OR&C Senior Data Analyst will be part of the Analytics and Validation Portfolio supporting analytical capabilities with Group Compliance function....,
Data Analyst,Viva Energy,,"You will build trust in the data through accurate, clean data and reporting and contribute to quality improvement and data integrity....",
Data Analyst - Business Intelligence,Epworth Healthcare,,"Epworth HealthCare is seeking a Data Analyst, who will support the analytics team and business users to improve data management practices across the...",
Data Processing Analyst (As per award),Victorian Government,,"The role of Data Processing Analyst will be largely focused on. Maintain data standards, including adherence to the Data Protection Act....",
Data & Reporting Analyst,Viva Energy,,"In this opportunity of Data and Reporting Analyst, you will be responsible in provide configuration, technical and administration support for our reporting and...",
Reporting and Data Analyst,Bunzl,,The role will also be responsible for analysis of data and identifying trends. Bunzl Australasia is a leader in the marketing and distribution of a diverse...,
Data Processing Analyst,Greyhound Racing Victoria,,"The role of Data Processing Analyst will be largely focused on. Maintain data standards, including adherence to the Data Protection Act....",
Data Analyst,ANZ Banking Group,,"Data Analyst - Campaign Developer. The role will be based within one of the EDB squads, made up of a mix of Journey Experts, Data Scientists and Data Analysts....",
"Analyst, Data Science",NAB - National Australia Bank,Melbourne VIC,"Data wrangling and exploration experience. Reporting to the Data Science Manager, our analyst Data Scientists will support the development of the analytics...",
Systems Analyst,ANZ Banking Group,Melbourne VIC,"Internally, this role is referred to as an Analyst. As a Systems Analyst it is expected that you will be a go-to person within the squad....",
OR&C Data Analyst,ANZ Banking Group,Melbourne VIC,The OR&C Senior Data Analyst will be part of the Analytics and Validation Portfolio supporting analytical capabilities with Group Compliance function....,
OR&C Data Analyst,ANZ Banking Group,Melbourne VIC,The OR&C Senior Data Analyst will be part of the Analytics and Validation Portfolio supporting analytical capabilities with Group Compliance function....,
Data Analyst,Servian,Melbourne VIC,"Data & Analytics - BI/DW, Big Data Analytics, Data Engineering, Data Science and Advanced Analytics. As a Data Warehouse and BI generalist you will bring end to...",
Data & Reporting Analyst,Viva Energy,Melbourne VIC,"In this opportunity of Data and Reporting Analyst, you will be responsible in provide configuration, technical and administration support for our reporting and...",
Data & Reporting Analyst,Viva Energy,,"In this opportunity of Data and Reporting Analyst, you will be responsible in provide configuration, technical and administration support for our reporting and...",
"Analyst, Data Science",NAB - National Australia Bank,,"Data wrangling and exploration experience. Reporting to the Data Science Manager, our analyst Data Scientists will support the development of the analytics...",
Data Analyst,Department of Justice and Community Safety,,We are seeking a Data Analyst to work in the Information and Communication Technology team to lead the provision of data management services....,
Finance Data & Forecasting Analyst,Fonterra,,Finance Data & Forecasting Analyst. Turn insights into action through your skill and passion for data management....,
Junior or Mid Data Scientist,PlaySide Studios,,Ability to RAW data export analytics data and import into our databases to provide easy to read data for the team. Junior or Mid Data Scientist....,
Data Scientist,David Jones,,"Have demonstrated experience with big data and big data architecture (Map reduce, Hive, Pig, Spark). Possess experience in identifying new uses for data and its...",
Customer Experience Analyst,City of Port Philip,,Customer Experience Analyst. Qualitative and quantitative data collection and analysis. We are making a significant investment in our customer experience and we...,"$111,752 a year"
BI & Data Analyst (Microstrategy),Fortune Select,,"Test reports for data accuracy and conduct root cause analysis and remediation of issues. Design and develop MicroStrategy dashboards, reports and solutions...",
Data Analyst – Insights,TQSolutions,,Data Analyst – Insights. Data Analyst – Insights via Pro Bono Australia. Experience with data visualisation tools such as Tableau/PowerBI....,
Data Scientist,Solve Geosolutions,,We develop bespoke software and data insight visualisations.*. Previous experience working with remote sensing or satellite data;...,"$80,000 - $120,000 a year"
Data Analyst,Viva Energy,Melbourne VIC,"You will build trust in the data through accurate, clean data and reporting and contribute to quality improvement and data integrity....",
Data Analyst,ANZ Banking Group,Melbourne VIC,"Data Analyst - Campaign Developer. The role will be based within one of the EDB squads, made up of a mix of Journey Experts, Data Scientists and Data Analysts....",
"Analyst, Data Science",NAB - National Australia Bank,Melbourne VIC,"Data wrangling and exploration experience. Reporting to the Data Science Manager, our analyst Data Scientists will support the development of the analytics...",
Data Analyst,ANZ Banking Group,Melbourne VIC,"Data Analyst - Campaign Developer. The role will be based within one of the EDB squads, made up of a mix of Journey Experts, Data Scientists and Data Analysts....",
Data Analyst,Viva Energy,Melbourne VIC,"You will build trust in the data through accurate, clean data and reporting and contribute to quality improvement and data integrity....",
Data Analyst,Servian,Melbourne VIC,"Data & Analytics - BI/DW, Big Data Analytics, Data Engineering, Data Science and Advanced Analytics. As a Data Warehouse and BI generalist you will bring end to...",
Data Scientist,David Jones,,"Have demonstrated experience with big data and big data architecture (Map reduce, Hive, Pig, Spark). Possess experience in identifying new uses for data and its...",
Customer Experience Analyst,City of Port Philip,,Customer Experience Analyst. Qualitative and quantitative data collection and analysis. We are making a significant investment in our customer experience and we...,"$111,752 a year"
Data Analyst / Business Analyst / Data Visualisation - Melbo...,Ernst & Young OM,,"You will be involved a variety of activities such as gathering technical requirements, data analysis, data profiling, ETL, data modelling, data visualisation or...",
