title,company,location,summary,salary
Engineer,ANZ Banking Group,Melbourne VIC,"Software Engineer Role. What you bring to the role as an Engineer. I use my critical thinking, network, skills, knowledge, and available data to drive better...",
Data Engineer,NAB - National Australia Bank,Melbourne VIC,"We are current looking for Data Engineers to play a leading role in building out our capability. Work with cutting edge cloud and open source data technologies,...",
Asset Engineer,Bayside Personnel,Melbourne VIC,Define and maintain accurate data of an electronic asset maintenance register. Work With A Major Owner Asset Portfolio....,
Analytics Data Engineer,Bolster,,"Commercial data engineering experience, building data pipelines, design, big data warehouses and shipping features....",
Data DevOps Engineer,NAB - National Australia Bank,,We are looking for a DevOps engineer to build automation into Big Data delivery and promote DevOps practices. Join the team building NAB’s new cloud native Data...,
Staff Software Engineer - Data Products,Zendesk,,"Our data is stored in Aurora, S3 and Kafka. Partner with Data Scientists to incorporate ML models into production systems....",
Data Engineer,Atlis Consulting,,"Are interested in Big Data? Data extraction and processing skills using SQL, MapReduce, Pig, Spark and/or Hive....",
Data Engineer,Altis Consulting,,"Are interested in Big Data? Data extraction and processing skills using SQL, MapReduce, Pig, Spark and/or Hive....",
Cloud Data Engineer,Servian,,"Data & Analytics - Data Warehousing, Big Data Analytics, Data Engineering, Data Science, and Advanced Analytics....",
Data Engineer (Big Data),Shelde,,"As a Big Data Engineer at Shelde, you will form an integral part of our Digital Engineering practice. Previous experience working with large data sets (>10TB)...",
Data Administrator (Australian Genomics),Murdoch Childrens Research Institute,,The Data Administrator will provide assistance to the Data Coordinator and other members of the Australian Genomics coordination team....,"$66,255 - $70,315 a year"
Data Engineer,Envato,,This includes solutions to integrate data from internal and external data sources into the central data repository as well as the processing and modelling of...,"$85,000 - $125,000 a year"
Data and Intelligence Analyst,Bolster,,You’ll work with a data Engineer to:. We’re looking for a data analyst help lead a major change in the way the music industry consumes and understands data....,
Data Engineer,Chandler Macleod,Melbourne VIC,Knowledge of Data Governance in big data. Knowledge & experience in big data. Melbourne based contract available for an Data Engineer with AWS experience and...,
Data Engineer,Servian,Melbourne VIC,"Data & Analytics - BI/DW, Big Data Analytics, Data Engineering, Data Science and Advanced Analytics. You will also bring skills in Big Data technologies and...",
API Engineer - Belong,Telstra,Melbourne City Centre VIC,We are seeking an experienced API Engineer to be a critical member of a cross-function agile team. You will have a key role in enabling people by sharing best...,
API Engineer - Belong,Telstra,Melbourne City Centre VIC,We are seeking an experienced API Engineer to be a critical member of a cross-function agile team. You will have a key role in enabling people by sharing best...,
Data Engineer,Servian,Melbourne VIC,"Data & Analytics - BI/DW, Big Data Analytics, Data Engineering, Data Science and Advanced Analytics. You will also bring skills in Big Data technologies and...",
Data Engineer,Chandler Macleod,Melbourne VIC,Knowledge of Data Governance in big data. Knowledge & experience in big data. Melbourne based contract available for an Data Engineer with AWS experience and...,
Senior Data Engineer,Luvo,,The Senior Data Engineer is a position within a Delivery Team reporting their day-to-day activity to the Lead Delivery Engineer....,
Data Engineer,FourQuarters,,"Data Engineer required to build applications to support data science techniques for a digital business. As a Data Engineer, you will be responsible for:....","$1,000 a week"
Junior Geotechnical Engineer,Golder Associates,,"Junior Geotechnical Engineer. Experience in site investigation, reporting, analysing data and Geotechnical/Civil design....",
Senior Data Engineer(s),Versent,,"Lead and mentor Data engineers. Our Senior Data Engineers build upon the skill set of Data Engineers, Senior Engineers have been around the block a few times...","$100,000 - $160,000 a year"
Senior Data Engineer - Big Data,AGL Energy,,Previous experience as a Data Engineer working with Big Data to deliver solutions. Consult with Senior Data Engineers and Data Architects on solution designs...,
Data Centre Operations Engineer,Vivid CD Pty Ltd,,This isn’t just a Data Centre Operations role. The company is one of Australia’s leaders in its sector and is part of a multinational entity in the process of...,
IBM Data Power Engineer (22),Finite IT,,We are looking for an IBM Data Power Engineer to migrate on-prem XB62 device to AWS (immediate start)....,
Senior Data Engineer (Data Science),IBM,,"The team will include data engineers, machine learning engineers, operations research / optimization engineers and data journalists....",
Senior Data Engineer (SPARK),Fusion Professionals,,"As a Senior Data Engineer, you are responsible for the design, implementation and documentation of data ingestion, integration and transformation to their day...",
Performance and Optimisation Engineer Wireless,nbn™,,"As well as this, you will demonstrate an ability to solve business problems with a complex set of information and data, capable of conducting network data...",
Asset Engineer,Bayside Personnel,Melbourne VIC,Define and maintain accurate data of an electronic asset maintenance register. Work With A Major Owner Asset Portfolio....,
Engineer,ANZ Banking Group,Melbourne VIC,"Software Engineer Role. What you bring to the role as an Engineer. I use my critical thinking, network, skills, knowledge, and available data to drive better...",
Data Engineer,NAB - National Australia Bank,Melbourne VIC,"We are current looking for Data Engineers to play a leading role in building out our capability. Work with cutting edge cloud and open source data technologies,...",
Engineer,ANZ Banking Group,Melbourne VIC,"Software Engineer Role. What you bring to the role as an Engineer. I use my critical thinking, network, skills, knowledge, and available data to drive better...",
Data Engineer,Chandler Macleod,Melbourne VIC,Knowledge of Data Governance in big data. Knowledge & experience in big data. Melbourne based contract available for an Data Engineer with AWS experience and...,
Asset Engineer,Bayside Personnel,Melbourne VIC,Define and maintain accurate data of an electronic asset maintenance register. Work With A Major Owner Asset Portfolio....,
Big Data Engineer,Capgemini Australia,,"The Big Data Engineer will expand and optimise our clients' data and data pipeline architecture, as well as optimise their data flow and collection for cross...",
Data Analyst - Business Intelligence,Epworth Healthcare,,Your experience working with software engineers and data platform specialists will deliver measurable data quality uplift....,
Senior Data & Analytics Engineer,Lander & Rogers,,"Exploring new data store technologies for various business scenarios like Business Intelligence, Data Warehousing, Real time analytics etc....",
IBM Research Staff Member - Health AI,IBM,,"Experience developing, testing, and deploying systems for analysing medical data such as for example EEG, ECG, text, speech or imaging data, or for other real...",
Splunk Engineer,Luvo,,"Splunk data acquisition. Data normalisation and the Splunk CIM. Currently, we are looking for a skilled, proactive and motivated Splunk Engineer....",
Research Assistant,Murdoch Childrens Research Institute,,"Undertaking experimental plan and approaches to generate/execute results/ data. We are a diverse team of world-leading researchers, doctors, engineers, and...","$71,913 - $80,128 a year"
Packaging Design Engineer,Moose,,"Uses economic, financial, market and industry data to understand and improve business results. Based in Melbourne and working with cross functional Global teams...",
Technical Support Engineer,Rapid7,,Working for a leader in the security data and analytics industry. We combine our extensive experience in security data and analytics and deep insight into...,
Network Engineer,The Network IT,,"Senior Network Engineer (L2 and L3). As a Senior Network Engineer, you will be providing Level 3 operations support to Cisco routers, switches, ASA Firewall,...",$500 - $600 a day
Data Infrastructure Engineer,Culture Amp,,"Distributed databases, data streaming, data warehousing, data engineering tooling and workflows. Appropriately harmonise approaches to data infrastructure with...",
Data Engineer,NAB - National Australia Bank,Melbourne VIC,"We are current looking for Data Engineers to play a leading role in building out our capability. Work with cutting edge cloud and open source data technologies,...",
Data Engineer,Servian,Melbourne VIC,"Data & Analytics - BI/DW, Big Data Analytics, Data Engineering, Data Science and Advanced Analytics. You will also bring skills in Big Data technologies and...",
API Engineer - Belong,Telstra,Melbourne City Centre VIC,We are seeking an experienced API Engineer to be a critical member of a cross-function agile team. You will have a key role in enabling people by sharing best...,
Data Engineer,Servian,Melbourne VIC,"Data & Analytics - BI/DW, Big Data Analytics, Data Engineering, Data Science and Advanced Analytics. You will also bring skills in Big Data technologies and...",
Data Engineer,Chandler Macleod,Melbourne VIC,Knowledge of Data Governance in big data. Knowledge & experience in big data. Melbourne based contract available for an Data Engineer with AWS experience and...,
Asset Engineer,Bayside Personnel,Melbourne VIC,Define and maintain accurate data of an electronic asset maintenance register. Work With A Major Owner Asset Portfolio....,
API Engineer - Belong,Telstra,Melbourne City Centre VIC,We are seeking an experienced API Engineer to be a critical member of a cross-function agile team. You will have a key role in enabling people by sharing best...,
Engineer,ANZ Banking Group,Melbourne VIC,"Software Engineer Role. What you bring to the role as an Engineer. I use my critical thinking, network, skills, knowledge, and available data to drive better...",
Data Engineer,NAB - National Australia Bank,Melbourne VIC,"We are current looking for Data Engineers to play a leading role in building out our capability. Work with cutting edge cloud and open source data technologies,...",
Pre-Sales Engineer,Velocity Global LLC,,Experience with Mining Data Science engagements and Australian mine operator requirements. Deep understanding of concepts and technologies behind big data and...,"$160,000 a year"
Product Support Engineer,NHP,,"This includes assisting the Product Marketing Team develop sales enablement tools to support sales creation, collating competitor pricing information, assisting...",
Test Analyst (Quality Engineer,NAB - National Australia Bank,,Identify environment and data requirements. We currently have a number of permanent positions for Quality Engineers to join the team. Permanent Full time....,
IT Desktop Support Engineer- Melbourne (Casual Full Time),Axiom Technologies,,Desktop Support Engineer. Weighs up options using the available data. Seeks out and uses factual data when available....,
Graduate Software Engineer,Kingston Data Systems Pty Ltd,,"We are a small technology business in the South East Suburbs of Melbourne, with a global client base in high speed industrial inspection and cloud based...",
Test Engineer,Fusion Professionals,,As a Test Engineer you will be responsible for Testing ETL jobs into the legacy data warehouse (Unified Data Source) that involves testing data acquisition...,
Mechanical Engineer,Aabak,,Data Analysis and calculation to aid engineering decisions. Successful applicants will be looking to join a focused team of engineers working on various...,"$75,000 - $89,999 a year"
DevSec Ops Engineer,TabCorp Holdings,,"Developing, documenting, and maintaining DevSecOps automation and tooling for Employee UX, Customer & Data Technology....",
Facilities Engineer - Data Centre,Michael Page,,Data centre experience is desirable. A strong Facility Engineer is required to bolster an established team. Work for a leading retail group on a high end data...,$65 an hour
Specialist IT Engineer (Ed Support Level 1-Range 3),Victorian Government,,Monitoring and analysing usage patterns and data to inform school decision making and spending. High level ability to monitor and analyse usage patterns and...,
API Engineer - Belong,Telstra,Melbourne City Centre VIC,We are seeking an experienced API Engineer to be a critical member of a cross-function agile team. You will have a key role in enabling people by sharing best...,
Staff Engineer,Zendesk,,"The team also maintains Maxwell, an open source MySQL change data capture system. By submitting your application, you agree that Zendesk may collect your...",
Pre-Sales Engineer,Velocity Global LLC,,Experience with Mining Data Science engagements and Australian mine operator requirements. Deep understanding of concepts and technologies behind big data and...,"$160,000 a year"
DevSec Ops Engineer,TabCorp Holdings,,"Developing, documenting, and maintaining DevSecOps automation and tooling for Employee UX, Customer & Data Technology....",
Research Assistant,Murdoch Childrens Research Institute,,"Undertaking experimental plan and approaches to generate/execute results/ data. We are a diverse team of world-leading researchers, doctors, engineers, and...","$71,913 - $80,128 a year"
Product Support Engineer,NHP,,"This includes assisting the Product Marketing Team develop sales enablement tools to support sales creation, collating competitor pricing information, assisting...",
Senior Software Engineer - Data Products,Zendesk,,Our servers live in AWS and data centres. Collaborate closely with fellow engineers to solve technical challenges....,
Production Engineer ( Mechanical),Jeld-Wen,,An ability to analyse and interpret performance data. Degree qualified Mechanical Engineer with a min of 3 years experience....,
Azure Data Engineer,Avanade,,"Azure Data Engineer. As an Azure Data Engineer, you know the importance of data to business. Preparing data for use in Data Science and Machine Learning....",
ILS Engineer,Thales Group,,"The ILS Engineer is a member of the dedicated Data Improvement team led by the Data Improvement Project Lead, who reports directly to the Project Manager....",
Solution Engineer,Sportsbet.com.au,,"Empirically minded, driven to find data and act based on the information. You will be working alongside a team of highly passionate, cross-skilled Solution...",
Engineer,ANZ Banking Group,Melbourne VIC,"Software Engineer Role. What you bring to the role as an Engineer. I use my critical thinking, network, skills, knowledge, and available data to drive better...",
Data Engineer,NAB - National Australia Bank,Melbourne VIC,"We are current looking for Data Engineers to play a leading role in building out our capability. Work with cutting edge cloud and open source data technologies,...",
Asset Engineer,Bayside Personnel,Melbourne VIC,Define and maintain accurate data of an electronic asset maintenance register. Work With A Major Owner Asset Portfolio....,
Data Engineer,Servian,Melbourne VIC,"Data & Analytics - BI/DW, Big Data Analytics, Data Engineering, Data Science and Advanced Analytics. You will also bring skills in Big Data technologies and...",
Data Engineer,Chandler Macleod,Melbourne VIC,Knowledge of Data Governance in big data. Knowledge & experience in big data. Melbourne based contract available for an Data Engineer with AWS experience and...,
