title,company,location,summary,salary
Senior Data Scientist - Belong,Telstra,Melbourne City Centre VIC,"Ability to coach and mentor other data scientists. As our Senior Data Scientist, you will be part of our centralised Data n Analytics (DnA) team, embedded deep...",
Data Scientist,Cover Genius,Sydney NSW,We’re seeking a senior data scientist to support the product and marketing with insights gained from analysing company data....,
Data Scientist,Teradata,,Data ScientistThe Data Scientist gathers intelligence from the massive streams of data that clients gather each day. Data can originate anywhere;...,
Data Scientist,Culture Amp,,"Your primary role will be to gather, analyse and visualise our benchmark data to transform data into insights for our customers....",
Data Scientist,Omnicom Media Group,,"As the Data Scientist, you'll play a critical role in helping clients across multiple industries make data driven marketing decisions....",
Data Scientist - Sydney,Australian Red Cross,,Strong business data acumen with the ability to quickly analyse business/technical requirements to develop a data strategy and initiate appropriate actions....,
Data Scientist,THE ICONIC,,"We are looking for an experienced Data Scientist to work across several business areas including Recommendations, Customer Profiling, Forecasting and...",
Data Scientist,Tigerspike,,The successful candidate will be a Data Scientist who’s excited about the potential to build out the whole of Tigerspike's Data Science practice....,
Data Scientist,Hyper Anna,,This is a client-facing role and you'll be the go-to Data Scientist responsible for solving our clients data analytics’ problems....,
Senior Data Scientist,Algorithmic Trading Strategies Pty Ltd,,We are looking for an experienced Data Scientist with solid experience (at least 4 years) working as a Data Scientist and with exposure to a broad set of...,"$180,000 - $200,000 a year"
Data Scientist,Freelancer.com,,"Proven experience as a data scientist or analyst. Experience in data mining. If this sounds like you, you will love life as a data scientist at Freelancer....","$65,000 - $110,000 a year"
Business Intelligence Analyst/Data Scientist Graduate (Full...,Cisco Careers,,Graduate Business Intelligence Analyst / Data Scientist. Contribute to key business decisions by providing data-driven insights derived from complex data...,
Freelance Data Scientist,mOOvement,Brisbane QLD,"Empowering cattle producers with real-time data on their livestock, providing more valuable insights by integrating partner data, and becoming the essential...","$90,000 - $110,000 a year"
Financial Crime Data Scientist,ANZ Banking Group,Melbourne VIC,Data test automation capabilities. The Financial Crime Data Scientist will be part of the squad delivering the Financial Crime Data Hub (FCDH) capabilities with...,
Data Engineer,Deakin University,Geelong VIC,"Your responsibilities include developing, implementing and supporting real-time data analytic capabilities, through sourcing new data onto the platform,...",
Data Specialist and Scientist,Deakin University,Melbourne VIC,This role requires an experienced Data Specialist with sound knowledge working on the statistical data and involve in maintaining high standard of data record...,
Data Scientist,THE ICONIC,Sydney NSW,"We are looking for an experienced Data Scientist to work across several business areas including Recommendations, Customer Profiling, Forecasting and...",
Data Engineer,Deakin University,Geelong VIC,"Your responsibilities include developing, implementing and supporting real-time data analytic capabilities, through sourcing new data onto the platform,...",
Senior Data Scientist - Belong,Telstra,Melbourne City Centre VIC,"Ability to coach and mentor other data scientists. As our Senior Data Scientist, you will be part of our centralised Data n Analytics (DnA) team, embedded deep...",
Financial Crime Data Scientist,ANZ Banking Group,Melbourne VIC,Data test automation capabilities. The Financial Crime Data Scientist will be part of the squad delivering the Financial Crime Data Hub (FCDH) capabilities with...,
Data Scientist,Cover Genius,Sydney NSW,We’re seeking a senior data scientist to support the product and marketing with insights gained from analysing company data....,
QC Scientist,MSD,,As a QC Scientist your key responsibilities will include:. MSD Animal Health manufacturing site in Bendigo is currently recruiting for Quality Control Scientist...,
Data Scientist - Solution 49x,KPMG,,"As a Data Scientist in our team, you will:. As a Data Scientist, you will work with a group of professionals in the form of strategists, statisticians,...",
Data Scientist/ Engineer,Quantexa,,"Work very closely with data scientists to ensure efficient and effective delivery of solutions; Proven big data experience, either from an implementation or a...","$71,000 - $94,000 a year"
Senior Data Scientist,AWS Australia Pty Ltd,,Our Data Scientists can live in any location where we have a Professional Service office. Experience giving data presentations....,
"Field Application Scientist, Life Sciences, Sydney",Thermo Fisher Scientific,,"Field Application Scientist, Life Sciences. Strong qPCR experience (instrument, workflow and data analyses)....",
Research Scientist (SciB),Victorian Government,,"Experience in generating, collecting, storing, retrieving, analysing, and visualising spatial and aspatial data and information;...","$84,019 - $95,329 a year"
Freelance Data Scientist,mOOvement,,"Empowering cattle producers with real-time data on their livestock, providing more valuable insights by integrating partner data, and becoming the essential...","$90,000 - $110,000 a year"
Data Scientist,Australian Securities Exchange (ASX),," Gained a good level of knowledge and experience in data structures, data mining, data transformation and. Theoretical Data Science (e.g....",
Data Analyst Graduate,Reece Group,,Data Analyst Graduate. The Graduate Data Analyst will assist in:. The Graduate Data Analyst forms part of our Pricing Team ....,
Data Science Opportunities,KPMG,,Our team is seeking data scientists to support our ambitious growth strategy. You will describe yourself as an individual who uses Data Science techniques and...,
Freelance Data Scientist,mOOvement,Brisbane QLD,"Empowering cattle producers with real-time data on their livestock, providing more valuable insights by integrating partner data, and becoming the essential...","$90,000 - $110,000 a year"
Data Scientist,THE ICONIC,Sydney NSW,"We are looking for an experienced Data Scientist to work across several business areas including Recommendations, Customer Profiling, Forecasting and...",
