title,company,location,summary,salary
Global Data - Mortgages Analyst - Sydney,Bloomberg,Sydney NSW,"Mortgages Analyst - Sydney. Our Market Data Analysts collect, analyse, process and publish the data which is the backbone of our iconic Bloomberg Terminal- the...",
Operations Analyst - Marketplace,THE ICONIC,Sydney NSW,You have experience in operational process improvement and driving efficiency through data. The successful candidate will be comfortable immersing themselves in...,
Data Analytics Analyst,IQVIA,,"Manages health related data, updates and analyses data to ensure data integrity. Ensures the data received from suppliers is allocated to the correct data...",
"Consumer Research & Data Analyst, Sydney",Mintel Group,,Research and data consultancy:. Do you enjoy working with data? High attention to detail with a focus on ensuring quality data....,
Data and Information Analyst,Agency for Clinical Innovation,,"Demonstrated high level skills to clean, structure and validate data, develop appropriate models using multiple data sources, program new statistical analyses...","$110,961 - $126,496 a year"
Junior Data Analyst,Perigon Group,,"You will be responsible for conducting data integrity checks, entering large volumes of data into MRI and reviewing results....",$25 - $30 an hour
"Data Analyst, Data Governance & Management",Cancer Institute Division,,Exciting opportunity for an experienced Data Analyst to join a team specialising in data management. This is a multifaceted role providing business and...,"$95,426 - $113,183 a year"
"Information Analyst Data Analytics, Office of Quality and Pe...",Western Sydney University,,Student load data management. Maintaining data integrity and quality standards at all time. The Information Analyst will assist in the provision and analysis of...,"$101,964 - $110,022 a year"
Cross-Border Data Analyst - Macquarie Park,DANONE,,Previous experience in a similar Data Analyst role. As our Cross-Border Data Analyst you will draw valuable insights from data so we can make business decisions...,
Data Analyst and Insights,Deputy,,"3-5 years experience in a Data Analytics role. As a Data Analyst you will play a pivotal role in our global strategy and execution, and you’ll have the...",
Analyst – Market Data Utility,ANZ Banking Group,,Markets Data Hub Squad. Who has a data centric view of the world and enjoys dealing with complex data. Assist clients to develop their data requirements....,
"Consumer Research & Data Analyst, Sydney",Mintel,,Research and data consultancy:. Do you enjoy working with data? High attention to detail with a focus on ensuring quality data....,
Data Scientist,Cover Genius,Sydney NSW,We’re seeking a senior data scientist to support the product and marketing with insights gained from analysing company data....,
Data Analyst,Robert Half Australia,Sydney NSW,"Identify data gaps, analyze and document data patterns. Transferring data to insight in partnership with business by identifying the requirements and gaps and...",$550 a week
Data Scientist,THE ICONIC,Sydney NSW,We love to move fast and validate learning using data (lucky for us our Data Science & Analytics team is also world class!)....,
Data Analyst - Airline Catering,Gate Gourmet,New South Wales,"The Data Analyst – Costing & Customer Data role is responsible for accurate build, maintenance & analysis of customer related data in Gate Gourmet's ERP system...",
Analyst – Market Data Utility,ANZ Banking Group,Sydney NSW,Markets Data Hub Squad. Who has a data centric view of the world and enjoys dealing with complex data. Assist clients to develop their data requirements....,
Data Scientist,THE ICONIC,Sydney NSW,We love to move fast and validate learning using data (lucky for us our Data Science & Analytics team is also world class!)....,
Inventory Analyst,people2people,Fairfield NSW,Attention to detail to allow for simplistic data presentations. Tracking reports and extracting data to have visability on product shelf life and stock levels...,"$40,000 - $50,000 a year"
Data Analyst,Robert Half Australia,Sydney NSW,"Identify data gaps, analyze and document data patterns. Transferring data to insight in partnership with business by identifying the requirements and gaps and...",$550 a week
Operations Analyst - Marketplace,THE ICONIC,Sydney NSW,You have experience in operational process improvement and driving efficiency through data. The successful candidate will be comfortable immersing themselves in...,
Global Data - Mortgages Analyst - Sydney,Bloomberg,,"Mortgages Analyst - Sydney. Our Market Data Analysts collect, analyse, process and publish the data which is the backbone of our iconic Bloomberg Terminal- the...",
Data Analyst - Sydney,Ernst & Young OM,,"You will be involved a variety of activities such as gathering technical requirements, data analysis, data profiling, ETL, data modelling, data visualisation or...",
