title,company,location,summary,salary
Field Service Commissioning Engineer,Addelec Power Services,Smeaton Grange NSW,"Addelec Power Services are a specialised company that provides a suite of services to public/private utilities (power & water), mining, data centres,...",$45 - $60 an hour
Security Automation Engineer,THE ICONIC,Sydney NSW,"Engineer, implement, and monitor security systems. We love to move fast and validate learning using data (lucky for us our Data Science & Analytics team is also...",
Full Stack Software Engineer,THE ICONIC,Sydney NSW,We love to move fast and validate learning using data (lucky for us our Data Science & Analytics team is also world class!)....,
Data Engineer,Australian Broadcasting Corporation (ABC),,"Data Engineer PD.pdf. ABC Audiences are seeking a Data Engineer to propose, design and develop solutions and lead the data integrations, operations support and...","$120,000 a year"
Data Engineer - Internal Analytics,SafetyCulture,,"Collaborate closely with data infrastructure engineers and data analysts across different teams, find bottlenecks and solve the problem....",
Data Engineer,Metigy,,"You’ve worked for over 5+ years as data engineer working in Data Warehousing, Business Intelligence and Big Data processing....",
Data Engineer - Australia,"InterWorks, Inc.",,"While some companies may hide their data engineers away in some dungeon, data engineers at InterWorks are social, friendly creatures....",
Data Engineer,VGW,,"We are looking for experienced software engineers with an interest in big data, data science and machine learning....",
Big Data Engineer,Quantium,,Quantium Big Data Engineer. We’re looking for Big Data technologists:. Our industry-leading partners’ real-world data sets are growing along with their...,
Software Engineer (Part-time),Google,,"We're looking for engineers who bring fresh ideas from all areas, including information retrieval, distributed computing, large-scale system design, networking...",
Data Engineer,Oneflare,,We are looking for a motivated Data Engineer to develop and maintain our robust data pipeline and help support a core tenant of Oneflare....,
Data Engineer,THE ICONIC,,"A senior and well experienced Data Science practitioner with at least 6+ years of experience, who has done their time in the dark deep mines of data, built...",
Data Engineer - Perm - Melb,Sirius People,,"Our client is seeking a self-motivated, personable and technical Data Engineer to develop and maintain the data pipeline, applying data governance best practice...",
Data CoE Expressions of Interest,Optus,Sydney NSW,"In this newly created team, our Data Centre of Excellence (COE) is searching for talented, creative people and people leaders with skills and proven experience...",
Senior RF and Digital hardware engineer,RF Technology Pty Ltd,Pennant Hills NSW,Senior hardware engineer required for leading RF company. Senior RF and Digital hardware engineer working with leading edge team....,
Site Engineer,Quay Civil Pty Ltd,Sydney NSW,We are looking for a Site Engineer. Compile data records for progress claims (variations/EOT) in preparation for submission to client....,"$100,000 - $130,000 a year"
Voice & Data Network Engineer,Mobilizer Pty Ltd,Sydney NSW,Voice and data:. You must have extensive experience as a VOIP and Networking Engineer. Ability to Trouble Shoot Cisco Data Network Cisco Certified Experience....,
Data Engineering Consultant,Servian,Sydney NSW,"Data & Analytics - BI/DW, Big Data Analytics, Data Engineering, Data Science and Advanced Analytics. We are looking for outstanding Data Engineers to join our...",
Data CoE Expressions of Interest,Optus,Sydney NSW,"In this newly created team, our Data Centre of Excellence (COE) is searching for talented, creative people and people leaders with skills and proven experience...",
Full Stack Software Engineer,THE ICONIC,Sydney NSW,We love to move fast and validate learning using data (lucky for us our Data Science & Analytics team is also world class!)....,
Security Automation Engineer,THE ICONIC,Sydney NSW,"Engineer, implement, and monitor security systems. We love to move fast and validate learning using data (lucky for us our Data Science & Analytics team is also...",
Data Engineer - Perm - Melb,Sirius People,,"Our client is seeking a self-motivated, personable and technical Data Engineer to develop and maintain the data pipeline, applying data governance best practice...",
Data Engineer - Australia,"InterWorks, Inc.",,"While some companies may hide their data engineers away in some dungeon, data engineers at InterWorks are social, friendly creatures....",
Data Engineer,hipages,,"As a Data Engineer you'll be responsible for collecting, transforming, storing and processing a wide variety of data sets....",
Data Engineer,Oneflare,,We are looking for a motivated Data Engineer to develop and maintain our robust data pipeline and help support a core tenant of Oneflare....,
NSW Government Data Analytics,KPMG,,"Data Engineer / Analyst /Information Management. Define and deliver enterprise information management frameworks that address data lineage, data dictionaries,...",
Data Administrator / Data Engineer,Pinpoint Talent,,My global client is in need of a Data Administrator / Data Engineer to manage and support the acquisition and processing of data for the organisation’s key...,"$80,000 a year"
Senior Data Scientist,Algorithmic Trading Strategies Pty Ltd,,"They will have a good level of knowledge and experience in *data structures, data mining, data transformation and data visualisation across large structured and...","$180,000 - $200,000 a year"
Data Engineer,Deputy,,"As an experienced Data Engineer you will support our software developers, database architects, data analysts and data scientists on data initiatives and will...",
Operations Assistant – Minto,CSR Group,,Ensure Safety Data Sheets records are up to date and accessible. Our Smarter Permanent Formwork enjoys an impressive reputation throughout Australia and abroad...,
Cloud Engineer - Big Data,AWS Australia Pty Ltd,,"Our Big Data teams specialise in helping customers with streaming, storing and processing vast amounts of data in the Cloud....",
Field Service Commissioning Engineer,Addelec Power Services,Smeaton Grange NSW,"Addelec Power Services are a specialised company that provides a suite of services to public/private utilities (power & water), mining, data centres,...",$45 - $60 an hour
Software Engineer — Node.js,SiteMinder,Sydney NSW,"We currently have a need for a Software Engineer to join our team. Our mission is to help our clients, independents and group & chain hotels, to be visible to...",
Voice & Data Network Engineer,Mobilizer Pty Ltd,Sydney NSW,Voice and data:. You must have extensive experience as a VOIP and Networking Engineer. Ability to Trouble Shoot Cisco Data Network Cisco Certified Experience....,
Data Engineering Consultant,Servian,Sydney NSW,"Data & Analytics - BI/DW, Big Data Analytics, Data Engineering, Data Science and Advanced Analytics. We are looking for outstanding Data Engineers to join our...",
Senior RF and Digital hardware engineer,RF Technology Pty Ltd,Pennant Hills NSW,Senior hardware engineer required for leading RF company. Senior RF and Digital hardware engineer working with leading edge team....,
Security Automation Engineer,THE ICONIC,Sydney NSW,"Engineer, implement, and monitor security systems. We love to move fast and validate learning using data (lucky for us our Data Science & Analytics team is also...",
Senior RF and Digital hardware engineer,RF Technology Pty Ltd,Pennant Hills NSW,Senior hardware engineer required for leading RF company. Senior RF and Digital hardware engineer working with leading edge team....,
Data Engineering Consultant,Servian,Sydney NSW,"Data & Analytics - BI/DW, Big Data Analytics, Data Engineering, Data Science and Advanced Analytics. We are looking for outstanding Data Engineers to join our...",
Field Service Commissioning Engineer,Addelec Power Services,Smeaton Grange NSW,"Addelec Power Services are a specialised company that provides a suite of services to public/private utilities (power & water), mining, data centres,...",$45 - $60 an hour
Full Stack Software Engineer,THE ICONIC,Sydney NSW,We love to move fast and validate learning using data (lucky for us our Data Science & Analytics team is also world class!)....,
"Customer Solutions Engineer, Ads",Google,,"Leverage Google’s cloud infrastructure and Big Data analytics systems to achieve your goals. As a Customer Solutions Engineer, you'll identify and prioritize...",
Big Data Engineer,Australian Securities Exchange (ASX),, Build the data models and analytics-ready datasets to support data science and the data product. Data structures) Medium....,
AWS Data Engineers - Sydney and Brisbane,Altis Consulting,,"Data extraction, ingestion and processing skills. Are interested in Cloud and Big Data solutions? Are you someone who loves data and turning information into...",
Data Engineer,Boral Industries,,"Work with data scientists to engineer innovative, high impact data products for Boral. As a Data Engineer in Boral you’ll be guiding and contributing to the...",
Data Scientist,Hyper Anna,,"Working closely with our clients and Anna’s other data scientists and engineers, you will be responsible for ensuring that a client’s data is transformed into a...",
Data & Analytics,KPMG,,"Defining data strategy & governance frameworks, data lifecycle management, business & technical operating models for data management, risk/opportunity...",
"Software Engineering Intern, Summer 2019",Google,,Collaborate on scalability issues involving access to massive amounts of data and information. Contribute to a wide variety of projects utilizing natural...,
Data Analytics and UX Engineer,Downer Group,,"SSAS, Azure Data Warehouse, Azure Data Factory,Data Lake, etc.). Data analysis and excellent problem-solving skills....",
Senior Data Scientist / Machine Learning Engineer,Intellify,,"As we are growing at a rapid speed, we are seeking a senior full-time data scientist/machine learning engineer who has extensive experience in data science,...","$120,000 - $160,000 a year"
Cloud Support Engineer - Big Data,Amazon.com,,"Our Big Data Support team specialises in helping customers with streaming, storing and processing vast amounts of data in the Cloud....",
Data CoE Expressions of Interest,Optus,Sydney NSW,"In this newly created team, our Data Centre of Excellence (COE) is searching for talented, creative people and people leaders with skills and proven experience...",
Site Engineer,Quay Civil Pty Ltd,Sydney NSW,We are looking for a Site Engineer. Compile data records for progress claims (variations/EOT) in preparation for submission to client....,"$100,000 - $130,000 a year"
Voice & Data Network Engineer,Mobilizer Pty Ltd,Sydney NSW,Voice and data:. You must have extensive experience as a VOIP and Networking Engineer. Ability to Trouble Shoot Cisco Data Network Cisco Certified Experience....,
Full Stack Software Engineer,THE ICONIC,Sydney NSW,We love to move fast and validate learning using data (lucky for us our Data Science & Analytics team is also world class!)....,
Security Automation Engineer,THE ICONIC,Sydney NSW,"Engineer, implement, and monitor security systems. We love to move fast and validate learning using data (lucky for us our Data Science & Analytics team is also...",
Software Engineer — Node.js,SiteMinder,Sydney NSW,"We currently have a need for a Software Engineer to join our team. Our mission is to help our clients, independents and group & chain hotels, to be visible to...",
"Software Engineering Intern, Summer 2019",Google,,Collaborate on scalability issues involving access to massive amounts of data and information. Contribute to a wide variety of projects utilizing natural...,
Network Engineer,ASIC,,"As a Network Engineer, you will be required to:. We are embarking on major technology projects that will transform our business and continue our significant...","$118,513 - $137,829 a year"
Senior Data Engineer (Sydney),Aginic,,"Manage, develop and grow a small team of Data Engineers. Developing, deploying and maintaining batch and streaming data pipelines....","$125,000 - $150,000 a year"
Software Engineer,IT HUB Australia Pty Ltd,,"Experience in analysing, developing, interpreting and evaluating complex system design and architecture specifications, data models and diagrams in the...","$70,000 - $90,000 a year"
"Network Development Engineer, Data Center, Amazon Web Servic...",Amazon Corporate Services Pty,,"Our Engineers, in addition to fundamental Networking skills are experienced in network automation and Linux. Our Engineers drive the strategic decisions on how...",
Data Analytics and UX Engineer,Downer Group,,"SSAS, Azure Data Warehouse, Azure Data Factory,Data Lake, etc.). Data analysis and excellent problem-solving skills....",
Software Engineer,Google,,"We're looking for engineers who bring fresh ideas from all areas, including information retrieval, distributed computing, large-scale system design, networking...",
"R&D Materials Engineer Sydney, Australia",Memjet,,R&D Materials Engineer. Skills in data analysis including the use of appropriate software packages. An exciting opportunity is available for a talented R&D...,
"Customer Solutions Engineer, Ads",Google,,"Leverage Google’s cloud infrastructure and Big Data analytics systems to achieve your goals. As a Customer Solutions Engineer, you'll identify and prioritize...",
Sales Engineer - Data Centre,"Arrow Electronics, Inc.",,"Experience with NetApp, Pure Storage, Nutanix, Artificial intelligence, big data concepts are favourable....",
Field Service Commissioning Engineer,Addelec Power Services,Smeaton Grange NSW,"Addelec Power Services are a specialised company that provides a suite of services to public/private utilities (power & water), mining, data centres,...",$45 - $60 an hour
Senior RF and Digital hardware engineer,RF Technology Pty Ltd,Pennant Hills NSW,Senior hardware engineer required for leading RF company. Senior RF and Digital hardware engineer working with leading edge team....,
Data CoE Expressions of Interest,Optus,Sydney NSW,"In this newly created team, our Data Centre of Excellence (COE) is searching for talented, creative people and people leaders with skills and proven experience...",
Voice & Data Network Engineer,Mobilizer Pty Ltd,Sydney NSW,Voice and data:. You must have extensive experience as a VOIP and Networking Engineer. Ability to Trouble Shoot Cisco Data Network Cisco Certified Experience....,
Data Engineering Consultant,Servian,Sydney NSW,"Data & Analytics - BI/DW, Big Data Analytics, Data Engineering, Data Science and Advanced Analytics. We are looking for outstanding Data Engineers to join our...",
Voice & Data Network Engineer,Mobilizer Pty Ltd,Sydney NSW,Voice and data:. You must have extensive experience as a VOIP and Networking Engineer. Ability to Trouble Shoot Cisco Data Network Cisco Certified Experience....,
Senior RF and Digital hardware engineer,RF Technology Pty Ltd,Pennant Hills NSW,Senior hardware engineer required for leading RF company. Senior RF and Digital hardware engineer working with leading edge team....,
Field Service Commissioning Engineer,Addelec Power Services,Smeaton Grange NSW,"Addelec Power Services are a specialised company that provides a suite of services to public/private utilities (power & water), mining, data centres,...",$45 - $60 an hour
Data CoE Expressions of Interest,Optus,Sydney NSW,"In this newly created team, our Data Centre of Excellence (COE) is searching for talented, creative people and people leaders with skills and proven experience...",
Full Stack Software Engineer,THE ICONIC,Sydney NSW,We love to move fast and validate learning using data (lucky for us our Data Science & Analytics team is also world class!)....,
Security Automation Engineer,THE ICONIC,Sydney NSW,"Engineer, implement, and monitor security systems. We love to move fast and validate learning using data (lucky for us our Data Science & Analytics team is also...",
Sales Engineer - Data Centre,"Arrow Electronics, Inc.",,"Experience with NetApp, Pure Storage, Nutanix, Artificial intelligence, big data concepts are favourable....",
Accenture Big Data Engineer Consultant,Accenture,,"Accenture Big Data Engineer Consultant/Manager, Australia. O Enterprise Data Warehouse / Data Lake architectures....",
Full Stack Software Engineer,Google,,"We're looking for engineers who bring fresh ideas from all areas, including information retrieval, distributed computing, large-scale system design, networking...",
Computer Network and Systems Engineer,KS Computer Technology,,"This is a full-time position of Computer Network and Systems Engineer where you will be planning, developing, testing and optimising network and system services...","$55,000 - $60,000 a year"
