title,company,location,summary,salary
Environmental Scientist - Boutique Environmental Consultancy,Ascension Global,Sydney NSW,*About your new Company: * This national environmental consultancy continues to grow and win new major projects. As such they wish to build on their existing...,"$70,000 - $110,000 a year"
Data CoE Expressions of Interest,Optus,Sydney NSW,"In this newly created team, our Data Centre of Excellence (COE) is searching for talented, creative people and people leaders with skills and proven experience...",
Digital Data Quality Officer,Domain Group,Sydney NSW,"Have the opportunity to work with a highly talented, motivated and fun data engineering / data scientist team....",
Data Scientist,Freshwater Group,,The Data Scientist will:. Manage data sets. A Data Scientist is required for a wholesale electricity retailer that connects its customers to the wholesale...,
Data Scientist - Australian Market Leader,Datasii,,"Due to continued growth in the Data Science team, an opportunity has arisen for an experienced Data Scientist to join this data science centre of excellence....","$120,000 - $135,000 a year"
Data Scientist,Munich Re,,"Data Analytics and Modelling. Identifies what data, both internally and externally, are available and relevant, as well as leveraging new data collection...",
Data Scientist – Artificial Intelligence Engineer,IBM,,"The elite team of data scientist will work with other IBMers and client data science teams to solve problems in banking, insurance, health care, manufacturing,...",
Business Intelligence Analyst/Data Scientist Graduate (Full...,Cisco Careers,,Graduate Business Intelligence Analyst / Data Scientist. Contribute to key business decisions by providing data-driven insights derived from complex data...,
Data Scientist/ Engineer,Quantexa,,"Work very closely with data scientists to ensure efficient and effective delivery of solutions; Proven big data experience, either from an implementation or a...","$71,000 - $94,000 a year"
Hospital Scientist - Cytology,NSW Health Pathology,,"Our network of pathologists are supported by scientists, technicians and support staff who quickly and accurately assess samples so clinical teams can make the...",$31.62 - $45.81 an hour
Data Scientist,C3,,"Collaborating with data and subject matter experts from C3 and its customer teams to seek, understand, validate, interpret, and correctly use new data elements....",
Data Scientist - Leading Health/MedTech,Datasii,,Extensive experience as a Data Scientist or Data Analyst in a commercial analytics environment. Commercial Data Science:....,"$120,000 - $140,000 a year"
Senior Data Scientist,AWS Australia Pty Ltd,,"AWS is looking for a Senior Data Scientist in the Asia-Pacific Region, who will be the Lead Subject Matter Expert (SME) for helping customers design machine...",
Data Scientist,Macquarie Group,Sydney NSW,5 + years' experience of building models and deriving insights in a position as an Analyst or a Data Scientist....,
Research Scientist -- AI -- Medical Imaging,Sydney Neuroimaging Analysis Centre,Sydney NSW,Liaises with project Systems Engineer to implement and deliver the AI solutions to clinicians and clinical research scientists....,
Machine learning software developer,AInsoff,Sydney NSW,"Building end to end machine learning systems on large scale clinical data. Our goal is to combine the best of data science, machine learning and clinical...","$100,000 - $200,000 a year"
Data Scientist,Cover Genius,Sydney NSW,We’re seeking a senior data scientist to support the product and marketing with insights gained from analysing company data....,
Data Scientist,THE ICONIC,Sydney NSW,"We are looking for an experienced Data Scientist to work across several business areas including Recommendations, Customer Profiling, Forecasting and...",
Data Scientist,Cover Genius,Sydney NSW,We’re seeking a senior data scientist to support the product and marketing with insights gained from analysing company data....,
Environmental Scientist - Boutique Environmental Consultancy,Ascension Global,Sydney NSW,*About your new Company: * This national environmental consultancy continues to grow and win new major projects. As such they wish to build on their existing...,"$70,000 - $110,000 a year"
Research Scientist -- AI -- Medical Imaging,Sydney Neuroimaging Analysis Centre,Sydney NSW,Liaises with project Systems Engineer to implement and deliver the AI solutions to clinicians and clinical research scientists....,
Data Scientist - Leading Health/MedTech,Datasii,,Extensive experience as a Data Scientist or Data Analyst in a commercial analytics environment. Commercial Data Science:....,"$120,000 - $140,000 a year"
Technical Assistant - Microbiology,NSW Health Pathology,,"Excellent data entry skills including high attention to detail and data accuracy. Scientists, technicians and support staff who quickly and accurately assess...",$26.39 - $27.46 an hour
NSW Government Data Analytics,KPMG,,"Data Scientist / Engineer / Analyst /Information Management. Define and deliver enterprise information management frameworks that address data lineage, data...",
Data Scientist,Cover Genius,,We’re seeking a senior data scientist to support the product and marketing with insights gained from analysing company data....,
Technical Assistant,NSW Health Pathology,,"Excellent data entry skills including high attention to detail and data accuracy. Our network of pathologists are supported by scientists, technicians and...",$26.39 - $27.46 an hour
Data Scientist (Computer Vision & Deep Learning Specialist),Nearmap,,"You will work within a team of data scientists, statisticians and engineers. Experience with Keras, Tensorflow, 2D, multi-view and 3D data are highly valued....",
Data Scientist,Sirius People,,Creating predictive models on large amounts of data. My client is seeking a personable data savvy professional to engage with the business and deliver on...,
Hosital Scientist - In Situ Hybridisation,NSW Health Pathology,,"Scientists, technicians and support staff who quickly and accurately assess samples so clinical teams can make the best possible treatment decisions for...","$62,714 - $90,841 a year"
Quantitative Data Analyst,Lendi,,Using a commercial focus to turn data trends into actionable insights. Please accompany your application with a personalized cover letter addressed to the Head...,
Data & Analytics,KPMG,,"Defining data strategy & governance frameworks, data lifecycle management, business & technical operating models for data management, risk/opportunity...",
Data CoE Expressions of Interest,Optus,Sydney NSW,"In this newly created team, our Data Centre of Excellence (COE) is searching for talented, creative people and people leaders with skills and proven experience...",
